ligne_source,credit_id,client_id,agence_id,type_credit,date_octroi,montant_initial,taux_annuel,duree_mois,mensualite_theorique,score_risque_octroi,statut_credit,date_fin_prevue
477,CR000477,C002454,A009,Prêt automobile,2023-07-17,28263.38,5.033,36,847.5,80,en cours,2026-07-17
478,CR000478,C003564,A005,Prêt immobilier,2025-10-09,291116.53,-3.078,300,1392.31,22,En cours,2050-10-09
479,CR000479,C003180,A023,Prêt automobile,2023-06-09,24052.15,7.177,72,412.11,75,En cours,2029-06-09
480,CR000480,C005720,A013,Prêt automobile,2024-09-21,15533.57,3.872,36,457.73,76,En cours,2027-09-21
481,CR000481,C000816,A025,Prêt immobilier,2023-05-13,300080.47,-4.158,180,2243.49,58,En cours,2038-05-13
482,CR000482,C002093,A006,Prêt immobilier,2024-09-22,310100.22,2.403,240,1628.56,45,En cours,2044-09-22
483,CR000483,C000286,A025,Prêt immobilier,2023-04-17,217578.83,2.172,240,1118.5,64,En cours,2043-04-17
484,CR000484,C003621,A009,Prêt immobilier,2022-12-30,236348.66,1.628,300,959.5,39,En cours,2047-12-30
485,CR000485,C005293,A015,Prêt automobile,2025-04-20,27786.21,5.226,72,450.41,43,En cours,2031-04-20
486,CR000486,C000259,A023,Prêt immobilier,2022-10-30,140490.03,3.81,180,1025.85,22,En cours,2037-10-30
487,CR000487,C002245,A019,Prêt immobilier,2024-07-20,282933.34,3.04,300,1347.57,40,En cours,2049-07-20
488,CR000488,C002099,A024,Prêt personnel,2025-07-17,15451.88,11.184,36,507.22,99,En cours,2028-07-17
489,CR000489,C001415,A010,Prêt immobilier,2023-06-14,144727.06,4.174,180,1083.22,48,En cours,2038-06-14
490,CR000490,C005359,A017,Prêt immobilier,2024-04-06,296121.87,1.538,240,1434.11,51,En cours,2044-04-06
491,CR000491,C001684,A005,Prêt immobilier,2022-03-18,116611.77,2.934,240,642.85,63,En cours,2042-03-18
492,CR000492,C004332,A009,Prêt personnel,2022-02-25,17300.9,6.299,12,1491.41,37,Terminé,2023-02-25
493,CR000493,C003186,A001,Prêt automobile,2022-11-10,37100.63,4.545,72,589.71,79,En cours,2028-11-10
494,CR000494,C002501,A025,Prêt automobile,2021-07-29,23856.03,3.99,72,373.12,49,En cours,2027-07-29
495,CR000495,C004136,A006,Prêt immobilier,2022-03-17,228314.07,2.365,180,1507.88,50,En cours,2037-03-17
496,CR000496,C004823,A004,Prêt personnel,2023-06-06,11054.45,5.875,36,335.67,58,Terminé,2026-06-06
497,CR000497,C005555,A023,Prêt automobile,2023-04-15,25714.53,4.866,36,769.15,35,Terminé,2026-04-15
498,CR000498,C000074,A008,Prêt immobilier,2023-09-03,276938.19,2.182,240,1425.02,97,En cours,2043-09-03
499,CR000499,C005052,A006,Prêt automobile,2026-01-27,24875.97,4.465,72,394.48,26,En cours,2032-01-27
500,CR000500,C004361,A002,Prêt automobile,2024-08-17,18500.94,4.265,72,291.69,64,En cours,2030-08-17
501,CR000501,C001870,A025,Prêt personnel,2022-08-03,19573.13,5.935,48,459.09,15,En cours,2026-08-03
502,CR000502,C002117,A022,PRÊT PERSONNEL,2023-09-04,22264.02,8.758,24,1014.66,58,Terminé,2025-09-04
503,CR000503,C005224,A008,Prêt automobile,2025-01-04,29169.9,4.384,72,461.5,63,En cours,2031-01-04
504,CR000504,C002632,A009,Prêt immobilier,2022-02-10,127686.22,2.142,300,550.09,68,En cours,2047-02-10
505,CR000505,C001420,A009,Prêt immobilier,2022-07-03,156997.53,3.666,240,923.97,32,En cours,2042-07-03
506,CR000506,C000269,A011,Prêt automobile,2023-10-19,29602.77,3.01,36,861.01,85,En cours,2026-10-19
507,CR000507,C003714,A022,Prêt automobile,2024-02-19,24147.66,2.973,48,534.21,63,En cours,2028-02-19
508,CR000508,C005298,A012,Prêt immobilier,2022-03-27,148981.9,2.107,300,639.24,55,En cours,2047-03-27
509,CR000509,C005088,A014,Prêt immobilier,2025-01-21,62092.25,3.689,180,449.68,55,En cours,2040-01-21
510,CR000510,C002992,A018,Prêt immobilier,2022-12-31,137324.4,3.699,300,702.26,34,En cours,2047-12-31
511,CR000511,C000749,A016,Prêt automobile,2025-06-07,18270.64,6.955,48,437.14,73,En cours,2029-06-07
512,CR000512,C000331,A003,Prêt immobilier,2021-03-21,253310.02,3.328,300,1244.93,82,en cours,2046-03-21
513,CR000513,C002754,A001,Prêt immobilier,2025-05-26,216022.87,3.693,240,1274.36,42,En cours,2045-05-26
514,CR000514,C001469,A025,Prêt automobile,2025-10-26,16166.0,-4.506,60,301.43,17,En cours,2030-10-26
515,CR000515,C000749,A016,Prêt personnel,2023-05-12,6711.55,4.615,48,153.39,59,En cours,2027-05-12
516,CR000516,C004811,A005,Prêt immobilier,2022-12-12,219343.7,2.899,180,1504.1,21,En cours,2037-12-12
517,CR000517,C005973,A006,Prêt automobile,2024-12-15,21522.85,4.065,36,636.06,7,En cours,2027-12-15
518,CR000518,C005429,A020,Prêt personnel,2023-09-16,12411.11,7.474,24,558.35,54,Terminé,2025-09-16
519,CR000519,C005254,A023,Prêt automobile,2023-12-16,19110.9,6.044,60,369.86,60,En cours,2028-12-16
520,CR000520,C004232,A015,Prêt immobilier,2024-03-10,151248.16,1.685,240,742.76,50,En cours,2044-03-10
521,CR000521,C001143,A018,Prêt immobilier,2024-10-22,81147.97,1.867,240,405.44,46,En cours,2044-10-22
522,CR000522,C005643,A020,PRÊT IMMOBILIER,2022-01-11,277623.16,4.336,240,1731.91,32,En cours,2042-01-11
523,CR000523,C002890,A025,Prêt automobile,2026-03-20,42432.44,3.334,60,768.76,35,En cours,2031-03-20
524,CR000524,C005291,A012,Prêt automobile,2024-06-04,33344.94,4.976,60,628.9,55,En cours,2029-06-04
525,CR000525,C004056,A021,Prêt personnel,2021-02-18,21075.95,11.149,60,459.81,35,en cours,2026-02-18
526,CR000526,C002066,A011,Prêt immobilier,2023-12-18,45000.0,3.569,300,226.96,33,En cours,2048-12-18
527,CR000527,C001490,A023,Prêt personnel,2021-11-12,2407.61,10.019,36,77.71,66,Terminé,2024-11-12
528,CR000528,C005500,A009,Prêt immobilier,2025-11-05,80070.76,1.975,180,514.36,34,En cours,2040-11-05
529,CR000529,C004161,A021,Prêt automobile,2022-09-24,16399.69,4.752,60,307.62,69,En cours,2027-09-24
530,CR000530,C001279,A019,Prêt automobile,2021-06-25,10054.44,3.35,48,224.11,70,Terminé,2025-06-25
531,CR000531,C003673,A025,Prêt immobilier,2025-04-09,126567.45,1.535,180,787.63,81,En cours,2040-04-09
532,CR000532,C003555,A022,Prêt immobilier,2024-02-23,116769.39,-3.696,180,846.07,40,En cours,2039-02-23
533,CR000533,C005898,A024,Prêt personnel,2025-11-13,14009.56,10.964,24,652.72,38,En cours,2027-11-13
534,CR000534,C005905,A019,Prêt personnel,2024-02-09,13633.67,9.851,12,1197.67,56,Terminé,2025-02-09
535,CR000535,C002760,A007,Prêt immobilier,2024-09-09,233265.07,-1.493,180,1447.2,75,En cours,2039-09-09
536,CR000536,C000172,A002,Prêt automobile,2025-06-07,17136.13,6.532,36,525.46,29,en cours,2028-06-07
537,CR000537,C001835,A004,Prêt immobilier,2024-04-24,145515.3,1.381,180,895.51,39,En cours,2039-04-24
538,CR000538,C003618,A018,Prêt personnel,2021-11-24,10388.57,9.101,12,908.98,55,Terminé,2022-11-24
539,CR000539,C000149,A022,Prêt immobilier,2022-08-20,165856.26,3.874,180,1216.39,50,En cours,2037-08-20
540,CR000540,C000687,A013,Prêt immobilier,2025-06-02,126357.99,3.86,180,925.81,61,En cours,2040-06-02
541,CR000541,C003973,A001,Prêt automobile,2022-05-05,5000.0,6.906,36,154.17,26,Terminé,2025-05-05
542,CR000542,C004305,A009,Prêt personnel,2024-05-08,12326.78,5.039,48,284.09,50,en cours,2028-05-08
543,CR000543,C003223,A023,Prêt immobilier,2021-04-09,302591.4,4.262,300,1641.26,54,En cours,2046-04-09
544,CR000544,C000049,A011,Prêt automobile,2025-09-03,32787.92,6.567,72,552.22,61,En cours,2031-09-03
545,CR000545,C003801,A024,Prêt personnel,2022-12-10,14403.1,11.172,36,472.71,62,Terminé,2025-12-10
546,CR000546,C004357,A001,Prêt personnel,2021-10-21,11609.88,11.071,24,541.49,66,Terminé,2023-10-21
547,CR000547,C003395,A011,Prêt personnel,2023-07-16,17771.29,4.393,48,404.39,26,En cours,2027-07-16
548,CR000548,C004775,A009,Prêt immobilier,2021-12-16,213719.84,4.739,180,1661.13,27,En cours,2036-12-16
549,CR000549,C005068,A001,Prêt personnel,2025-09-12,15675.19,10.382,60,336.0,62,En cours,2030-09-12
550,CR000550,C003789,A010,Prêt immobilier,2022-12-16,138216.7,1.773,240,684.48,45,En cours,2042-12-16
551,CR000551,C001872,A013,Prêt personnel,2021-05-02,1500.0,6.628,60,29.44,66,Terminé,2026-05-02
552,CR000552,C000328,A020,Prêt immobilier,2025-09-11,64590.01,1.75,180,408.26,74,En cours,2040-09-11
553,CR000553,C005928,A014,Prêt automobile,2022-12-08,21379.66,3.074,72,325.54,22,En cours,2028-12-08
554,CR000554,C001267,A024,Prêt immobilier,2021-09-19,296457.49,1.771,300,1223.76,53,En cours,2046-09-19
555,CR000555,C000436,A015,Prêt immobilier,2025-07-27,58634.67,2.079,300,250.79,81,En cours,2050-07-27
556,CR000556,C000482,A007,Prêt personnel,2022-01-28,8893.44,11.036,12,786.17,49,Terminé,2023-01-28
557,CR000557,C003261,A006,Prêt immobilier,2021-08-18,113395.35,3.568,300,571.82,51,En cours,2046-08-18
558,CR000558,C003271,A025,Prêt personnel,2023-07-30,18782.33,10.3,36,608.7,77,En cours,2026-07-30
559,CR000559,C000318,A007,Prêt personnel,2021-11-01,9437.04,10.68,12,832.65,69,Terminé,2022-11-01
560,CR000560,C001732,A021,Prêt personnel,2021-04-06,11586.97,9.671,12,1016.91,75,Terminé,2022-04-06
561,CR000561,C003962,A016,Prêt immobilier,2022-03-12,287479.23,1.36,300,1130.98,36,En cours,2047-03-12
562,CR000562,C002872,A017,Prêt automobile,2024-10-05,24177.01,7.384,36,750.77,51,En cours,2027-10-05
563,CR000563,C001958,A016,Prêt immobilier,2024-02-19,375563.88,1.467,300,1496.12,50,En cours,2049-02-19
564,CR000564,C004003,A022,Prêt automobile,2021-08-02,23404.44,6.816,60,461.41,81,En cours,2026-08-02
565,CR000565,C005775,A009,Prêt immobilier,2022-08-27,139359.61,4.347,300,762.53,71,En cours,2047-08-27
566,CR000566,C004436,A999,Prêt immobilier,2023-11-20,214253.69,2.554,180,1434.09,73,En cours,2038-11-20
567,CR000567,C003512,A017,Prêt automobile,2025-11-29,29823.55,6.6,60,584.93,42,En cours,2030-11-29
568,CR000568,C001514,A018,Prêt immobilier,2021-01-14,163762.65,3.555,240,954.4,44,En cours,2041-01-14
569,CR000569,C000948,A013,Prêt immobilier,2024-11-20,210736.82,1.628,180,1320.34,47,En cours,2039-11-20
570,CR000570,C005054,A004,Prêt immobilier,2022-04-05,354241.95,2.522,180,2365.78,37,En cours,2037-04-05
571,CR000571,C004853,A002,Prêt automobile,2024-12-01,5935.32,-5.702,60,113.93,35,En cours,2029-12-01
572,CR000572,C005959,A019,Prêt automobile,2024-01-25,36647.56,7.335,36,1137.19,39,En cours,2027-01-25
573,CR000573,C002919,A008,Prêt personnel,2024-08-13,15965.03,11.34,24,746.62,66,En cours,2026-08-13
574,CR000574,C000501,A005,Prêt personnel,2025-08-17,10748.65,7.598,12,933.01,28,En cours,2026-08-17
575,CR000575,C003758,A022,Prêt immobilier,2024-04-24,104540.87,1.347,180,641.76,56,En cours,2039-04-24
576,CR000576,C002312,A006,Prêt immobilier,2022-07-18,263932.79,3.319,300,1295.79,65,En cours,2047-07-18
577,CR000577,C005841,A022,Prêt automobile,2025-11-26,10190.74,4.374,48,231.81,54,En cours,2029-11-26
578,CR000578,C001968,A003,Prêt personnel,2025-08-18,8610.93,5.945,36,261.75,59,en cours,2028-08-18
579,CR000579,C002702,A001,Prêt immobilier,2025-11-03,158415.87,4.76,240,1024.56,29,En cours,2045-11-03
580,CR000580,C005015,A021,Prêt personnel,2022-06-14,21384.37,6.094,12,1841.4,25,Terminé,2023-06-14
581,CR000581,C003752,A023,Prêt automobile,2023-02-23,18342.98,4.11,48,415.07,77,En cours,2027-02-23
582,CR000582,C004444,A017,Prêt automobile,2024-07-25,18055.27,6.396,72,302.61,63,En cours,2030-07-25
583,CR000583,C000131,A009,Prêt immobilier,2023-05-16,181838.4,1.719,300,746.1,34,En cours,2048-05-16
584,CR000584,C002766,A004,Prêt automobile,2023-09-01,24952.56,6.192,48,588.21,67,En cours,2027-09-01
585,CR000585,C004290,A011,PRÊT IMMOBILIER,2024-08-06,256870.58,4.149,180,1919.23,45,En cours,2039-08-06
586,CR000586,C005330,A008,Prêt automobile,2021-04-07,15594.98,-3.707,60,285.15,49,Terminé,2026-04-07
587,CR000587,C001403,A024,Prêt personnel,2023-10-10,14433.2,7.835,24,651.69,55,Terminé,2025-10-10
588,CR000588,C001293,A007,Prêt automobile,2025-02-04,5000.0,7.458,72,86.35,28,En cours,2031-02-04
589,CR000589,C004803,A023,Prêt personnel,2023-08-20,6213.96,4.469,24,271.14,7,Terminé,2025-08-20
590,CR000590,C003709,A021,Prêt immobilier,2024-08-07,224794.12,4.03,240,1365.75,35,En cours,2044-08-07
591,CR000591,C000150,A004,Prêt immobilier,2023-05-21,83484.02,1.536,180,519.56,86,En cours,2038-05-21
592,CR000592,C004175,A006,Prêt immobilier,2023-07-12,61955.61,2.37,300,273.89,50,En cours,2048-07-12
593,CR000593,C005465,A011,Prêt personnel,2021-07-13,11553.91,6.817,24,516.34,59,Terminé,2023-07-13
594,CR000594,C005419,A013,Prêt immobilier,2022-10-18,163499.67,2.401,180,1082.62,46,En cours,2037-10-18
595,CR000595,C001076,A022,Prêt immobilier,2024-12-08,277901.44,1.524,240,1344.13,53,En cours,2044-12-08
596,CR000596,C001442,A014,Prêt immobilier,2025-09-02,128168.83,3.661,300,652.78,37,En cours,2050-09-02
597,CR000597,C004568,A009,Prêt immobilier,2021-10-09,299177.57,2.932,180,2056.3,13,En cours,2036-10-09
598,CR000598,C003123,A006,Prêt immobilier,2024-06-02,266181.8,1.32,300,1042.14,15,En cours,2049-06-02
599,CR000599,C002729,A016,Prêt personnel,2023-01-18,23508.08,10.894,12,2076.52,11,Terminé,2024-01-18
600,CR000600,C002213,A024,Prêt immobilier,2023-01-12,88251.77,3.983,180,652.04,63,En cours,2038-01-12
